Ime,Priimek,RD,Letnik,Oddelek,Povprečna ocena
Janez,Novak,20.12.1993,4,D,1.93
Janez,Novak,14.5.2001,2,A,2.54
Janez,Novak,24.9.1998,3,C,4.50
Janez,Novak,14.6.2001,3,A,3.25
Janez,Novak,13.11.1999,2,D,4.47
Janez,Novak,24.9.1996,3,D,4.00
Janez,Novak,14.12.1998,4,F,3.12
Janez,Novak,25.5.2000,4,E,2.88
Janez,Novak,9.2.1999,2,D,2.68
Janez,Novak,11.12.1999,1,A,1.03
Janez,Novak,25.7.1993,2,B,3.44
Janez,Novak,1.4.1996,1,F,1.33
Janez,Novak,4.10.2000,1,B,3.21
Janez,Novak,14.6.2001,2,D,1.42
Janez,Novak,23.3.1996,2,D,3.41
Janez,Novak,16.8.1994,3,B,2.57
Janez,Novak,10.12.2000,1,B,1.19
Janez,Novak,26.6.1993,3,A,4.34
Janez,Novak,9.12.1999,1,F,4.85
Janez,Novak,14.3.1994,2,A,1.86
Janez,Novak,1.4.1997,2,D,4.04
Janez,Novak,4.7.1993,1,F,2.93
Janez,Novak,1.5.2001,1,E,1.30
Janez,Novak,13.12.1993,1,B,3.72
Janez,Novak,13.6.1998,4,E,2.87
Janez,Novak,27.2.2000,2,C,2.35
Janez,Novak,27.9.1996,3,D,1.41
Janez,Novak,3.8.1995,4,F,4.41
Janez,Novak,15.1.1995,3,C,1.45
Janez,Novak,6.6.2000,1,C,1.45
Janez,Novak,9.2.1996,1,A,1.58
Janez,Novak,28.4.1996,2,D,4.19
Janez,Novak,9.3.1993,1,F,4.88
Janez,Novak,12.8.1993,1,B,2.58
Janez,Novak,10.3.1997,3,A,3.51
Janez,Novak,23.9.1995,2,A,3.74
Janez,Novak,27.2.1995,4,D,4.81
Janez,Novak,21.8.1997,3,D,1.32
Janez,Novak,10.3.1998,1,B,3.16
Janez,Novak,19.6.1995,3,C,3.44
Janez,Novak,12.9.1999,4,D,1.44
Janez,Novak,3.5.1994,2,E,1.57
Janez,Novak,30.6.1996,3,D,2.69
Janez,Novak,8.2.1999,4,A,4.50
Janez,Novak,9.3.2000,3,B,3.55
Janez,Novak,16.11.1998,4,A,2.49
Janez,Novak,21.5.1994,1,B,2.38
Janez,Novak,11.9.1999,4,F,3.99
Janez,Novak,3.2.1998,1,C,3.14
Janez,Novak,26.7.1999,3,A,1.10
Janez,Novak,11.3.1993,4,F,2.10
Janez,Novak,2.6.1994,2,D,2.84
Janez,Novak,30.12.1997,1,F,1.12
Janez,Novak,12.10.1998,3,C,1.98
Janez,Novak,19.3.2001,2,B,3.46
Janez,Novak,15.7.1999,1,F,4.33
Janez,Novak,23.5.1994,1,F,4.93
Janez,Novak,27.9.2001,2,E,1.96
Janez,Novak,8.10.1993,1,E,3.10
Janez,Novak,15.5.1997,1,C,3.86
Janez,Novak,16.5.1996,4,E,3.79
Janez,Novak,30.1.1999,4,A,4.62
Janez,Novak,9.7.1994,3,F,4.26
Janez,Novak,2.5.1998,4,C,3.51
Janez,Novak,4.11.1996,4,D,2.17
Janez,Novak,14.10.2000,4,F,4.93
Janez,Novak,12.7.1994,1,E,3.21
Janez,Novak,14.9.1993,2,D,3.91
Janez,Novak,28.1.1998,2,A,2.94
Janez,Novak,3.11.2001,2,A,2.94
Janez,Novak,25.9.2000,2,B,4.45
Janez,Novak,6.11.1997,4,F,2.41
Janez,Novak,28.9.1993,2,F,3.73
Janez,Novak,25.10.2001,2,F,3.26
Janez,Novak,22.7.1996,4,F,1.56
Janez,Novak,26.10.1993,3,D,1.71
Janez,Novak,24.8.1999,3,E,4.29
Janez,Novak,16.1.1999,3,F,3.38
Janez,Novak,8.2.1999,4,B,1.18
Janez,Novak,21.7.1994,3,F,4.48
Janez,Novak,8.12.1998,3,A,1.25
Janez,Novak,1.1.1996,2,F,3.26
Janez,Novak,23.8.1995,1,A,2.63
Janez,Novak,18.4.2000,1,F,3.97
Janez,Novak,23.12.1993,1,F,4.91
Janez,Novak,6.1.1995,2,E,3.41
Janez,Novak,1.11.1994,4,B,4.91
Janez,Novak,12.3.1997,2,E,1.28
Janez,Novak,27.10.1995,3,D,1.07
Janez,Novak,7.5.2001,4,C,1.02
Janez,Novak,22.11.1994,4,C,4.12
Janez,Novak,23.7.1998,4,E,2.95
Janez,Novak,15.11.1997,2,E,4.64
Janez,Novak,6.3.1997,1,A,1.07
Janez,Novak,9.10.1997,3,C,2.62
Janez,Novak,9.11.2000,2,F,3.33
Janez,Novak,30.10.1993,1,B,1.69
Janez,Novak,2.2.2000,2,E,1.27
Janez,Novak,1.8.2000,4,A,2.12
Janez,Novak,10.7.1999,1,C,4.11
Janez,Novak,22.8.1999,2,D,1.77
Janez,Novak,14.5.1993,3,C,3.96
Janez,Novak,9.4.1995,3,C,4.43
Janez,Novak,10.5.1995,3,E,4.20
Janez,Novak,5.5.1997,1,A,3.87
Janez,Novak,15.1.2000,1,F,3.83
Janez,Novak,23.7.1998,2,C,4.28
Janez,Novak,18.4.1993,3,D,3.96
Janez,Novak,29.11.2001,4,B,4.08
Janez,Novak,8.8.1997,4,F,4.36
Janez,Novak,8.11.1993,1,D,3.89
Janez,Novak,5.8.1999,1,F,1.85
Janez,Novak,21.11.1995,4,E,1.32
Janez,Novak,3.7.1994,2,D,3.53
Janez,Novak,1.9.1998,3,E,4.54
Janez,Novak,8.10.1997,4,B,4.69
Janez,Novak,15.3.1998,2,C,2.84
Janez,Novak,4.6.2001,2,A,3.01
Janez,Novak,27.4.1997,1,F,3.14
Janez,Novak,28.10.1993,1,B,4.87
Janez,Novak,24.10.1994,4,D,1.74
Janez,Novak,8.5.2001,4,F,2.64
Janez,Novak,23.7.1996,3,B,1.17
Janez,Novak,19.7.1996,2,C,1.57
Janez,Novak,30.9.1998,3,C,1.81
Janez,Novak,30.2.1997,1,F,3.80
Janez,Novak,30.1.2001,4,D,1.30
Janez,Novak,22.4.2001,4,A,1.13
Janez,Novak,20.4.1995,2,A,4.64
Janez,Novak,25.12.2001,3,C,3.93
Janez,Novak,9.5.2000,1,C,2.93
Janez,Novak,9.3.1997,3,C,2.79
Janez,Novak,10.5.2000,1,C,2.06
Janez,Novak,3.12.2001,4,E,3.57
Janez,Novak,12.10.1996,3,E,3.16
Janez,Novak,30.12.1993,3,E,1.14
Janez,Novak,29.8.1997,4,C,3.79
Janez,Novak,6.9.1995,1,E,1.05
Janez,Novak,9.8.1999,4,E,4.10
Janez,Novak,19.11.1999,2,C,4.22
Janez,Novak,4.5.1999,2,B,3.76
Janez,Novak,15.12.2001,2,E,1.91
Janez,Novak,20.5.2001,1,A,3.57
Janez,Novak,17.1.1995,1,A,4.89
Janez,Novak,15.8.1998,2,D,3.48
Janez,Novak,14.4.1993,1,C,3.39
Janez,Novak,22.12.1995,1,F,1.82
Janez,Novak,24.2.1998,2,C,3.74
Janez,Novak,13.8.2001,3,E,4.83
Janez,Novak,28.2.2000,4,E,3.43
Janez,Novak,4.10.1996,3,D,1.39
Janez,Novak,15.5.1999,1,F,1.21
Janez,Novak,6.3.1998,3,E,4.48
Janez,Novak,8.5.1997,4,B,1.08
Janez,Novak,14.12.1995,1,E,2.81
Janez,Novak,19.7.1995,1,C,3.10
Janez,Novak,29.2.1996,1,C,1.32
Janez,Novak,24.9.1996,4,F,3.48
Janez,Novak,13.9.2001,1,B,2.13
Janez,Novak,2.3.1993,2,F,1.47
Janez,Novak,8.3.1995,4,E,2.16
Janez,Novak,13.5.1993,1,E,3.62
Janez,Novak,7.4.2000,1,B,2.42
Janez,Novak,11.2.1994,1,B,2.19
Janez,Novak,14.5.1993,4,C,2.89
Janez,Novak,22.9.1998,2,E,3.02
Janez,Novak,23.11.1993,1,A,4.07
Janez,Novak,1.8.1995,3,A,4.31
Janez,Novak,6.11.1995,1,F,1.75
Janez,Novak,28.10.1996,2,F,4.62
Janez,Novak,28.5.2001,4,F,1.68
Janez,Novak,18.12.1998,2,D,2.45
Janez,Novak,18.12.2000,2,F,3.14
Janez,Novak,7.8.1997,4,B,2.94
Janez,Novak,27.2.2001,4,E,2.63
Janez,Novak,30.12.1999,2,F,1.72
Janez,Novak,1.4.1996,1,D,3.55
Janez,Novak,18.1.1995,3,E,1.55
Janez,Novak,18.4.2000,4,A,2.08
Janez,Novak,15.10.1998,3,F,2.73
Janez,Novak,22.11.1999,3,C,4.80
Janez,Novak,20.7.1994,4,F,4.82
Janez,Novak,15.7.1998,2,F,1.13
Janez,Novak,21.4.1999,1,C,1.89
Janez,Novak,21.5.1999,3,F,3.28
Janez,Novak,1.1.1995,1,A,2.53
Janez,Novak,11.4.1993,3,F,2.01
Janez,Novak,5.9.1996,1,E,2.99
Janez,Novak,5.2.1997,1,B,1.29
Janez,Novak,25.5.1996,4,F,1.98
Janez,Novak,13.8.1993,3,D,4.54
Janez,Novak,25.3.1994,2,E,1.61
Janez,Novak,13.3.1999,2,F,1.80
Janez,Novak,9.11.1995,3,F,4.58
Janez,Novak,15.5.1995,1,A,4.93
Janez,Novak,29.5.2001,4,D,2.10
Janez,Novak,21.7.1996,4,E,2.64
Janez,Novak,15.8.1996,4,A,3.39
Janez,Novak,29.2.2000,1,C,1.31
Janez,Novak,15.1.1999,3,E,3.12
Janez,Novak,15.4.1999,2,C,2.36
Janez,Novak,6.10.1997,1,A,1.85
Janez,Novak,5.7.1999,4,E,4.90
Janez,Novak,30.10.1996,3,A,1.68
Janez,Novak,11.1.1994,4,E,1.51
Janez,Novak,4.1.2001,4,D,1.39
Janez,Novak,9.9.1999,3,B,2.94
Janez,Novak,28.7.2001,4,E,4.10
Janez,Novak,25.1.1998,4,F,4.27
Janez,Novak,24.12.1999,3,F,2.75
Janez,Novak,24.7.1995,4,A,1.16
Janez,Novak,28.3.1998,3,F,2.52
Janez,Novak,7.3.1997,4,B,4.83
Janez,Novak,6.7.1994,1,D,3.83
Janez,Novak,11.9.2000,2,F,2.89
Janez,Novak,20.2.1996,3,F,2.10
Janez,Novak,26.5.1993,2,B,1.09
Janez,Novak,16.2.2001,3,E,1.21
Janez,Novak,16.6.1993,4,B,1.43
Janez,Novak,5.11.1994,2,C,4.62
Janez,Novak,13.7.1997,4,E,3.96
Janez,Novak,19.5.1997,4,A,1.89
Janez,Novak,3.7.1993,3,D,1.68
Janez,Novak,14.3.1997,2,E,4.41
Janez,Novak,30.1.1996,2,E,2.67
Janez,Novak,8.5.1997,2,B,4.21
Janez,Novak,5.1.1993,4,B,1.33
Janez,Novak,30.10.1993,3,F,3.06
Janez,Novak,15.8.1994,2,C,3.14
Janez,Novak,9.2.1994,3,A,1.25
Janez,Novak,17.9.1994,2,A,3.29
Janez,Novak,19.6.2000,1,C,1.04
Janez,Novak,4.5.1994,2,B,1.21
Janez,Novak,11.4.1996,2,A,3.65
Janez,Novak,17.9.1996,4,B,4.43
Janez,Novak,4.4.1994,1,F,2.29
Janez,Novak,27.11.1994,4,C,4.24
Janez,Novak,24.1.1995,4,B,2.13
Janez,Novak,2.4.2000,3,A,2.62
Janez,Novak,29.4.1998,3,D,1.36
Janez,Novak,20.8.1996,4,B,3.40
Janez,Novak,14.2.1994,1,E,1.08
Janez,Novak,9.3.2000,2,A,1.50
Janez,Novak,13.3.1994,4,A,4.85
Janez,Novak,30.1.1996,2,A,3.64
Janez,Novak,1.3.1997,2,E,1.35
Janez,Novak,1.5.1997,2,B,4.16
Janez,Novak,29.6.1999,3,C,3.01
Janez,Novak,11.5.2000,4,A,2.85
Janez,Novak,12.6.1999,2,F,4.63
Janez,Novak,22.6.1997,4,C,3.07
Janez,Novak,7.8.2001,3,D,2.34
Janez,Novak,9.8.1999,3,D,2.99
Janez,Novak,10.5.1993,3,C,3.80
Janez,Novak,15.4.1999,3,A,1.30
Janez,Novak,26.7.1993,1,F,1.40
Janez,Novak,10.5.1993,3,D,4.92
Janez,Novak,16.3.2000,4,F,3.39
Janez,Novak,9.9.1998,3,B,1.95
Janez,Novak,23.9.1997,4,B,3.14
Janez,Novak,10.3.1996,4,E,4.33
Janez,Novak,8.9.2000,3,C,2.83
Janez,Novak,27.10.1998,2,E,3.98
Janez,Novak,30.5.1998,1,E,1.19
Janez,Novak,5.10.1998,1,B,4.77
Janez,Novak,17.11.1995,3,B,3.12
Janez,Novak,24.4.1995,3,F,2.19
Janez,Novak,3.1.2000,2,B,2.59
Janez,Novak,30.9.1994,4,C,1.24
Janez,Novak,17.11.2000,4,D,1.03
Janez,Novak,7.10.2000,1,C,2.23
Janez,Novak,27.9.1999,1,A,3.61
Janez,Novak,27.9.2001,3,E,3.27
Janez,Novak,1.8.1996,4,E,4.02
Janez,Novak,8.1.2001,2,E,2.86
Janez,Novak,15.11.1996,1,C,2.19
Janez,Novak,20.10.1997,2,C,1.23
Janez,Novak,20.11.2000,3,D,3.77
Janez,Novak,28.7.1995,2,E,4.18
Janez,Novak,30.2.1998,2,A,4.25
Janez,Novak,2.3.2000,3,A,3.30
Janez,Novak,26.4.1997,3,C,4.45
Janez,Novak,18.10.1994,4,F,4.61
Janez,Novak,30.4.1998,3,B,3.05
Janez,Novak,29.8.1994,3,F,4.50
Janez,Novak,18.10.1995,2,C,2.66
Janez,Novak,19.1.1996,1,E,1.49
Janez,Novak,22.10.2001,1,F,3.50
Janez,Novak,14.3.1996,3,F,4.11
Janez,Novak,17.11.1997,1,E,1.83
Janez,Novak,7.9.2001,1,A,2.56
Janez,Novak,22.9.1995,3,C,1.27
Janez,Novak,30.1.1995,3,C,2.52
Janez,Novak,1.4.2000,3,A,3.37
Janez,Novak,22.2.1995,1,D,3.54
Janez,Novak,30.2.1999,2,C,2.06
Janez,Novak,26.10.2001,1,E,3.96
Janez,Novak,8.2.1993,3,C,2.45
Janez,Novak,17.4.1995,1,C,3.69
Janez,Novak,28.9.1996,2,E,1.40
Janez,Novak,25.11.2001,2,F,4.83
Janez,Novak,25.7.1999,1,A,3.07
Janez,Novak,9.5.1999,4,A,1.15
Janez,Novak,26.2.1993,4,D,4.74
Janez,Novak,14.5.1998,3,F,3.32
Janez,Novak,15.3.1997,1,D,3.21
Janez,Novak,7.10.1994,3,D,4.03
Janez,Novak,22.4.1993,3,C,4.87
Janez,Novak,19.4.1993,3,E,4.35
Janez,Novak,3.2.1993,1,A,1.43
Janez,Novak,21.7.1996,3,D,2.64
Janez,Novak,17.7.2000,2,B,4.05
Janez,Novak,1.2.1999,3,A,2.84
Janez,Novak,20.2.1998,2,D,2.22
Janez,Novak,8.7.1999,4,E,1.46
Janez,Novak,21.4.1995,2,C,2.08
Janez,Novak,7.6.1993,2,C,4.63
Janez,Novak,23.4.1993,3,E,3.69
Janez,Novak,1.4.1994,2,F,4.06
Janez,Novak,2.9.2001,1,D,3.40
Janez,Novak,24.6.1993,3,E,4.93
Janez,Novak,8.1.1995,4,A,2.22
Janez,Novak,5.12.1997,1,B,2.19
Janez,Novak,6.7.1999,3,C,3.65
Janez,Novak,26.12.1994,3,A,1.81
Janez,Novak,23.4.2000,1,D,2.35
Janez,Novak,30.5.1993,2,F,3.61
Janez,Novak,15.10.2000,4,B,3.22
Janez,Novak,22.7.1997,4,F,1.30
Janez,Novak,29.11.1995,2,B,2.54
Janez,Novak,21.5.1993,3,B,4.43
Janez,Novak,6.10.1996,2,E,4.69
Janez,Novak,16.10.1999,4,D,3.92
Janez,Novak,16.3.1995,2,B,1.61
Janez,Novak,21.8.2001,4,D,1.27
Janez,Novak,26.9.2000,3,E,3.07
Janez,Novak,18.4.1993,3,D,3.63
Janez,Novak,4.3.1999,3,F,1.26
Janez,Novak,15.12.1998,3,B,2.07
Janez,Novak,20.5.2000,1,F,4.30
Janez,Novak,22.12.2000,1,C,3.75
Janez,Novak,11.6.1998,4,D,3.74
Janez,Novak,6.3.1993,4,F,2.55
Janez,Novak,21.6.1994,4,B,4.04
Janez,Novak,6.4.1996,4,D,4.25
Janez,Novak,2.4.1993,2,F,1.11
Janez,Novak,5.12.1997,4,C,4.46
Janez,Novak,3.11.2001,3,C,2.70
Janez,Novak,2.1.2001,1,A,3.63
Janez,Novak,18.8.1993,1,E,2.88
Janez,Novak,18.7.1999,1,D,4.11
Janez,Novak,24.1.1998,1,A,4.01
Janez,Novak,14.10.1993,3,C,4.71
Janez,Novak,30.12.1996,3,E,1.17
Janez,Novak,29.7.2000,4,E,4.35
Janez,Novak,13.8.1996,2,B,4.05
Janez,Novak,4.8.2000,4,E,2.56
Janez,Novak,4.2.2001,4,A,3.00
Janez,Novak,13.7.1998,4,F,3.18
Janez,Novak,6.2.1997,4,F,2.10
Janez,Novak,16.6.2001,2,B,2.92
Janez,Novak,15.4.2000,4,D,1.32
Janez,Novak,23.6.1994,2,B,3.67
Janez,Novak,24.10.2000,2,E,3.07
Janez,Novak,8.5.1999,2,F,2.00
Janez,Novak,3.4.1995,1,E,1.65
Janez,Novak,8.3.1995,1,B,3.83
Janez,Novak,20.3.1998,3,A,2.47
Janez,Novak,3.10.1998,3,D,1.83
Janez,Novak,24.1.1998,2,C,2.14
Janez,Novak,1.6.2000,4,B,4.38
Janez,Novak,12.5.2000,4,D,3.00
Janez,Novak,27.2.1999,2,B,4.38
Janez,Novak,3.6.1993,1,E,3.31
Janez,Novak,30.7.1995,1,B,3.01
Janez,Novak,25.4.1993,1,A,4.93
Janez,Novak,6.7.1999,4,E,2.98
Janez,Novak,25.3.1996,3,E,1.32
Janez,Novak,30.11.1999,4,C,4.07
Janez,Novak,11.1.1995,1,E,2.61
Janez,Novak,22.12.2001,4,A,3.48
Janez,Novak,21.3.1994,1,A,3.75
Janez,Novak,1.9.1998,4,B,1.36
Janez,Novak,3.6.1998,2,A,4.59
Janez,Novak,1.8.1994,1,C,1.57
Janez,Novak,29.7.1998,1,A,3.07
Janez,Novak,29.1.1996,3,A,1.31
Janez,Novak,18.5.2000,1,C,1.60
Janez,Novak,18.11.1993,4,A,2.67
Janez,Novak,19.5.1994,4,B,2.33
Janez,Novak,1.11.1999,2,E,1.49
Janez,Novak,15.2.2001,1,B,4.68
Janez,Novak,6.3.1996,2,A,1.42
Janez,Novak,25.9.1993,4,A,3.56
Janez,Novak,12.1.1993,3,E,4.60
Janez,Novak,4.2.1994,4,B,1.19
Janez,Novak,23.3.2001,4,D,4.87
Janez,Novak,16.3.1998,1,E,4.09
Janez,Novak,30.11.1996,4,B,4.50
Janez,Novak,15.4.1995,4,F,1.52
Janez,Novak,20.11.1994,2,A,4.59
Janez,Novak,16.12.2001,3,B,3.79
Janez,Novak,16.11.1999,4,D,1.37
Janez,Novak,27.4.1996,4,A,1.12
Janez,Novak,28.3.2001,2,C,2.81
Janez,Novak,24.4.1999,2,A,3.65
Janez,Novak,18.12.2001,2,A,4.27
Janez,Novak,26.7.2000,4,E,4.73
Janez,Novak,23.5.2000,4,D,4.02
Janez,Novak,18.1.2000,1,E,1.46
Janez,Novak,12.7.1999,4,E,3.09
Janez,Novak,18.1.2001,3,D,4.77
Janez,Novak,23.10.1995,3,D,3.20
Janez,Novak,13.1.1995,4,E,4.31
Janez,Novak,24.7.1998,2,B,1.54
Janez,Novak,29.2.2001,4,A,2.44
Janez,Novak,11.9.1993,4,B,2.56
Janez,Novak,21.10.1997,3,C,3.48
Janez,Novak,25.4.1997,2,F,4.95
Janez,Novak,2.5.2001,3,B,3.13
Janez,Novak,15.3.1999,3,A,3.55
Janez,Novak,16.12.1996,2,B,4.97
Janez,Novak,14.12.2001,1,A,3.35
Janez,Novak,22.1.1997,4,F,1.97
Janez,Novak,9.1.1996,2,F,1.71
Janez,Novak,13.12.2001,1,E,1.04
Janez,Novak,7.7.1999,3,C,3.05
Janez,Novak,10.6.2000,4,B,1.05
Janez,Novak,16.6.1993,1,D,1.79
Janez,Novak,23.5.2000,1,A,3.14
Janez,Novak,5.2.1995,4,E,3.17
Janez,Novak,15.1.1994,4,D,3.42
Janez,Novak,15.7.1996,2,E,1.19
Janez,Novak,17.12.2000,4,C,1.07
Janez,Novak,17.3.1999,4,F,3.19
Janez,Novak,18.11.1998,3,A,1.22
Janez,Novak,20.4.1999,3,E,4.31
Janez,Novak,27.7.1997,2,B,2.99
Janez,Novak,7.11.1995,3,F,3.52
Janez,Novak,27.9.1996,2,B,2.19
Janez,Novak,17.7.2001,3,F,3.67
Janez,Novak,8.1.1999,3,D,3.72
Janez,Novak,30.10.1995,1,E,4.88
Janez,Novak,27.3.1995,2,E,1.25
Janez,Novak,25.1.1995,3,A,3.37
Janez,Novak,4.2.1998,4,F,2.20
Janez,Novak,2.2.2000,4,E,4.74
Janez,Novak,23.3.1993,3,E,4.25
Janez,Novak,29.5.1993,2,C,3.55
Janez,Novak,23.6.1998,4,C,1.20
Janez,Novak,24.9.1996,2,E,4.55
Janez,Novak,11.8.1993,2,B,1.90
Janez,Novak,12.12.1998,1,A,2.17
Janez,Novak,20.3.1994,4,F,3.71
Janez,Novak,20.5.1999,4,E,1.85
Janez,Novak,15.6.2000,2,A,1.54
Janez,Novak,29.1.1994,1,C,1.57
Janez,Novak,24.2.2001,4,E,1.99
Janez,Novak,3.7.1997,4,F,2.30
Janez,Novak,15.12.1996,1,B,2.22
Janez,Novak,29.8.1999,1,C,4.50
Janez,Novak,18.11.1995,1,A,4.74
Janez,Novak,29.6.2000,2,E,4.30
Janez,Novak,13.9.1997,2,C,4.96
Janez,Novak,30.2.1999,4,E,1.75
Janez,Novak,2.6.1994,1,A,1.43
Janez,Novak,18.9.1996,3,B,1.46
Janez,Novak,11.5.1993,4,F,2.48
Janez,Novak,22.1.2000,2,C,2.88
Janez,Novak,9.6.1998,1,B,2.51
Janez,Novak,21.2.1998,3,B,1.86
Janez,Novak,1.12.1993,3,F,2.48
Janez,Novak,7.8.1993,3,A,3.33
Janez,Novak,19.6.1999,3,E,2.19
Janez,Novak,26.11.1996,1,B,2.88
Janez,Novak,11.5.1996,2,A,1.16
Janez,Novak,8.6.2000,4,D,1.49
Janez,Novak,21.5.1997,4,C,1.30
Janez,Novak,17.11.1998,4,A,2.19
Janez,Novak,19.11.1996,1,D,3.47
Janez,Novak,13.11.1995,4,C,1.44
Janez,Novak,12.5.1996,4,B,3.69
Janez,Novak,14.1.1997,2,F,1.31
Janez,Novak,20.7.2000,2,B,3.17
Janez,Novak,5.8.1993,2,B,2.35
Janez,Novak,4.7.1996,2,B,3.13
Janez,Novak,15.12.1997,2,D,3.21
Janez,Novak,5.5.1995,2,B,4.99
Janez,Novak,3.4.2001,2,D,1.59
Janez,Novak,28.8.1997,3,B,1.82
Janez,Novak,24.5.1993,2,C,2.08
Janez,Novak,16.9.1998,3,A,2.78
Janez,Novak,9.12.2000,2,C,2.85
Janez,Novak,23.4.1997,1,C,1.63
Janez,Novak,22.12.1993,4,B,4.21
Janez,Novak,27.6.1994,4,A,3.71
Janez,Novak,28.11.1993,1,A,1.69
Janez,Novak,25.8.1998,4,F,1.36
Janez,Novak,21.5.1999,1,F,1.74
Janez,Novak,26.3.2001,4,F,1.77
Janez,Novak,17.12.2001,1,B,2.10
Janez,Novak,10.11.1999,4,C,4.75
Janez,Novak,8.7.1998,4,A,4.92
Janez,Novak,11.3.2000,2,D,4.78
Janez,Novak,4.11.1996,4,E,3.80
Janez,Novak,2.3.1996,3,C,2.94
Janez,Novak,21.9.1999,2,B,2.73
Janez,Novak,4.6.1993,1,B,1.28
Janez,Novak,29.2.1996,4,A,1.73
Janez,Novak,7.8.2000,1,D,2.27
Janez,Novak,19.4.1994,1,A,1.12
Janez,Novak,12.1.2001,2,C,3.41
Janez,Novak,25.7.1993,2,B,4.93
Janez,Novak,16.7.1998,4,D,2.74
Janez,Novak,16.6.1997,1,F,5.00
Janez,Novak,26.12.1997,3,E,1.31
Janez,Novak,5.2.1998,3,C,3.19
Janez,Novak,2.5.2000,4,D,2.07
Janez,Novak,16.2.2000,4,D,3.63
Janez,Novak,16.2.1999,2,E,1.91
Janez,Novak,29.4.2000,3,C,3.50
Janez,Novak,18.2.1999,2,A,1.34
Janez,Novak,24.7.2000,2,D,1.54
Janez,Novak,7.7.1996,4,C,1.23
Janez,Novak,8.4.2001,2,D,1.25
Janez,Novak,10.2.1996,3,F,4.35
Janez,Novak,13.2.1997,3,D,1.33
Janez,Novak,12.6.1999,4,F,1.07
Janez,Novak,23.12.1994,1,C,4.22
Janez,Novak,19.3.2001,4,E,2.35
Janez,Novak,16.1.2001,2,F,3.78
Janez,Novak,9.7.1998,2,F,3.90
Janez,Novak,25.3.2000,3,A,3.95
Janez,Novak,18.1.1996,4,E,3.67
Janez,Novak,11.8.1993,4,F,2.08
Janez,Novak,18.12.1998,1,C,3.05
Janez,Novak,27.12.1996,4,D,4.60
Janez,Novak,17.11.2000,3,A,3.04
Janez,Novak,18.5.1998,4,B,2.97
Janez,Novak,22.3.1998,1,D,2.37
Janez,Novak,5.2.1997,2,D,1.81
Janez,Novak,11.8.1995,3,A,2.56
Janez,Novak,24.10.1993,4,F,2.74
Janez,Novak,9.5.1995,4,F,2.05
Janez,Novak,17.7.1993,4,D,3.14
Janez,Novak,6.3.1994,4,A,4.72
Janez,Novak,2.12.1994,4,D,4.53
Janez,Novak,4.12.1993,3,A,4.62
Janez,Novak,15.10.1997,1,A,4.41
Janez,Novak,18.1.2001,1,F,1.75
Janez,Novak,18.5.2001,2,C,2.42
